unique_id,ds,y
1,2026-01-09 16:00:00,283
1,2026-01-09 16:00:00,283
1,2026-01-09 16:00:00,38552
1,2026-01-09 16:00:00,31226
1,2026-01-09 16:00:00,12565
1,2026-01-09 16:00:00,14703
1,2026-01-09 16:00:00,24279
1,2026-01-09 16:00:00,51500
1,2026-01-09 16:00:00,13620
1,2026-01-09 16:00:00,3248
1,2026-01-09 16:00:00,4119
1,2026-01-09 16:00:00,4175
1,2026-01-09 16:00:00,1955
1,2026-01-09 16:00:00,1772
1,2026-01-09 16:00:00,5630
1,2026-01-09 16:00:00,5350
1,2026-01-09 16:00:00,3662
1,2026-01-09 16:00:00,1340
1,2026-01-09 16:00:00,1369
1,2026-01-09 16:00:00,2789
1,2026-01-09 16:00:00,1387
1,2026-01-09 16:00:00,24482
1,2026-01-09 16:00:00,24279
1,2026-01-09 16:00:00,216
1,2026-01-09 16:00:00,97528
1,2026-01-09 16:00:00,93033
1,2026-01-09 16:00:00,18156
1,2026-01-09 16:00:00,3158
1,2026-01-09 16:00:00,3198
1,2026-01-09 16:00:00,3234
1,2026-01-09 16:00:00,7007
1,2026-01-09 16:00:00,6896
1,2026-01-09 16:00:00,24482
1,2026-01-09 16:00:00,17889
1,2026-01-09 16:00:00,18156
1,2026-01-09 16:00:00,17889
1,2026-01-09 16:00:00,1583
1,2026-01-09 16:00:00,1565
1,2026-01-09 16:00:00,46236
1,2026-01-09 16:00:00,50085
1,2026-01-09 16:00:00,179
1,2026-01-09 16:00:00,4543
1,2026-01-09 16:00:00,2789
1,2026-01-09 16:00:00,13833
1,2026-01-09 16:00:00,320
1,2026-01-09 16:00:00,26509
1,2026-01-09 16:00:00,79858
1,2026-01-09 16:00:00,83484
1,2026-01-09 16:00:00,93033
1,2026-01-09 16:00:00,97528
1,2026-01-09 16:00:00,3866
1,2026-01-09 16:00:00,2693
1,2026-01-09 16:00:00,3076
1,2026-01-09 16:00:00,1414
1,2026-01-09 16:00:00,1390
1,2026-01-09 16:00:00,13620
1,2026-01-09 16:00:00,13833
1,2026-01-09 16:00:00,2294
1,2026-01-09 16:00:00,2447
1,2026-01-09 16:00:00,77203
1,2026-01-09 16:00:00,298
1,2026-01-09 16:00:00,790
1,2026-01-09 16:00:00,2001
1,2026-01-09 16:00:00,5334
1,2026-01-09 16:00:00,4113
1,2026-01-09 16:00:00,15254
1,2026-01-09 16:00:00,15947
1,2026-01-09 16:00:00,1985
1,2026-01-09 16:00:00,810
1,2026-01-09 16:00:00,175
1,2026-01-09 16:00:00,61
1,2026-01-09 16:00:00,56
1,2026-01-09 16:00:00,204
1,2026-01-09 16:00:00,26994
1,2026-01-09 16:00:00,355
1,2026-01-09 16:00:00,2415
1,2026-01-09 16:00:00,77314
1,2026-01-09 16:00:00,50543
1,2026-01-09 16:00:00,51500
1,2026-01-09 16:00:00,948
1,2026-01-09 16:00:00,935
1,2026-01-09 16:00:00,11827
1,2026-01-09 16:00:00,11984
1,2026-01-09 16:00:00,406
1,2026-01-09 16:00:00,396
1,2026-01-09 16:00:00,531
1,2026-01-09 16:00:00,6234
1,2026-01-09 16:00:00,6492
1,2026-01-09 16:00:00,26738
1,2026-01-09 16:00:00,27889
1,2026-01-09 16:00:00,355
1,2026-01-09 16:00:00,655
1,2026-01-09 16:00:00,31244
1,2026-01-09 16:00:00,38552
1,2026-01-09 16:00:00,1820
1,2026-01-09 16:00:00,1821
1,2026-01-09 16:00:00,4893
1,2026-01-09 16:00:00,4024
1,2026-01-09 16:00:00,2280
1,2026-01-09 16:00:00,2377
1,2026-01-09 16:00:00,2544
1,2026-01-09 16:00:00,8926
1,2026-01-09 16:00:00,33982
1,2026-01-09 16:00:00,32353
1,2026-01-09 16:00:00,21796
1,2026-01-09 16:00:00,21505
1,2026-01-09 16:00:00,9134
1,2026-01-09 17:00:00,17286
1,2026-01-09 17:00:00,678
1,2026-01-09 17:00:00,697
1,2026-01-09 17:00:00,17457
1,2026-01-09 17:00:00,484845
1,2026-01-09 17:00:00,4370
1,2026-01-09 17:00:00,4291
1,2026-01-09 17:00:00,3662
1,2026-01-09 17:00:00,1004
